Name,RollNumber,Branch,Year,CurrentCourse,Course1,Grade1,Course2,Grade2
Aarav Sharma,2021001,CS,2020,OOPD,401,6,NLP,7
Vivaan Sharma,MT21002,ECE,2021,202,DBMS,7,920,8
Aditya Sharma,MT21003,CSAM,2022,OS,601,8,SEC,9
Vihaan Sharma,PhD21004,CSD,2023,401,ML,9,111,10
Arjun Sharma,MT21005,CSB,2020,DBMS,815,10,COA,6
Sai Sharma,MT21006,CSE,2021,601,CV,6,333,7
Arnav Sharma,PhD21007,ECE,2022,ML,1005,7,WEB,8
Ayaan Sharma,MT21008,CSAM,2023,815,TOC,8,555,9
Krishna Sharma,MT21009,CSD,2020,CV,222,9,CLOUD,10
Ishaan Sharma,PhD21010,CSB,2021,1005,ALGO,10,777,6
Shaurya Sharma,MT21011,CSE,2022,TOC,444,6,CYBER,7
Atharv Sharma,MT21012,ECE,2023,222,MOBILE,7,999,8
Advik Sharma,PhD21013,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Sharma,MT21014,CSD,2021,444,IOT,9,101,10
Reyansh Sharma,MT21015,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Sharma,PhD21016,CSE,2023,666,GAME,6,303,7
Diya Sharma,MT21017,ECE,2020,IOT,1111,7,CN,8
Saanvi Sharma,MT21018,CSAM,2021,888,OOPD,8,523,9
Ananya Sharma,PhD21019,CSD,2022,GAME,202,9,AI,10
Pari Sharma,MT21020,CSB,2023,1111,OS,10,702,6
Navya Sharma,MT21021,CSE,2020,OOPD,401,6,NLP,7
Angel Sharma,PhD21022,ECE,2021,202,DBMS,7,920,8
Ira Sharma,MT21023,CSAM,2022,OS,601,8,SEC,9
Prisha Sharma,MT21024,CSD,2023,401,ML,9,111,10
Anaya Sharma,PhD21025,CSB,2020,DBMS,815,10,COA,6
Ravi Sharma,MT21026,CSE,2021,601,CV,6,333,7
Priya Sharma,MT21027,ECE,2022,ML,1005,7,WEB,8
Amit Sharma,PhD21028,CSAM,2023,815,TOC,8,555,9
Sneha Sharma,MT21029,CSD,2020,CV,222,9,CLOUD,10
Karan Sharma,MT21030,CSB,2021,1005,ALGO,10,777,6
Nisha Sharma,PhD21031,CSE,2022,TOC,444,6,CYBER,7
Rahul Sharma,MT21032,ECE,2023,222,MOBILE,7,999,8
Divya Sharma,MT21033,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Sharma,PhD21034,CSD,2021,444,IOT,9,101,10
Rohan Sharma,MT21035,CSB,2022,MOBILE,888,10,DSA,6
Anjali Sharma,MT21036,CSE,2023,666,GAME,6,303,7
Vikram Sharma,PhD21037,ECE,2020,IOT,1111,7,CN,8
Pooja Sharma,MT21038,CSAM,2021,888,OOPD,8,523,9
Aryan Sharma,MT21039,CSD,2022,GAME,202,9,AI,10
Kavya Sharma,PhD21040,CSB,2023,1111,OS,10,702,6
Aakash Sharma,MT21041,CSE,2020,OOPD,401,6,NLP,7
Simran Sharma,MT21042,ECE,2021,202,DBMS,7,920,8
Varun Sharma,PhD21043,CSAM,2022,OS,601,8,SEC,9
Tanvi Sharma,MT21044,CSD,2023,401,ML,9,111,10
Nikhil Sharma,MT21045,CSB,2020,DBMS,815,10,COA,6
Ritu Sharma,PhD21046,CSE,2021,601,CV,6,333,7
Siddharth Sharma,MT21047,ECE,2022,ML,1005,7,WEB,8
Neha Sharma,MT21048,CSAM,2023,815,TOC,8,555,9
Kunal Sharma,PhD21049,CSD,2020,CV,222,9,CLOUD,10
Shruti Sharma,MT21050,CSB,2021,1005,ALGO,10,777,6
Aarav Verma,MT21051,CSE,2022,TOC,444,6,CYBER,7
Vivaan Verma,PhD21052,ECE,2023,222,MOBILE,7,999,8
Aditya Verma,MT21053,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Verma,MT21054,CSD,2021,444,IOT,9,101,10
Arjun Verma,PhD21055,CSB,2022,MOBILE,888,10,DSA,6
Sai Verma,MT21056,CSE,2023,666,GAME,6,303,7
Arnav Verma,MT21057,ECE,2020,IOT,1111,7,CN,8
Ayaan Verma,PhD21058,CSAM,2021,888,OOPD,8,523,9
Krishna Verma,MT21059,CSD,2022,GAME,202,9,AI,10
Ishaan Verma,MT21060,CSB,2023,1111,OS,10,702,6
Shaurya Verma,PhD21061,CSE,2020,OOPD,401,6,NLP,7
Atharv Verma,MT21062,ECE,2021,202,DBMS,7,920,8
Advik Verma,MT21063,CSAM,2022,OS,601,8,SEC,9
Pranav Verma,PhD21064,CSD,2023,401,ML,9,111,10
Reyansh Verma,MT21065,CSB,2020,DBMS,815,10,COA,6
Aaradhya Verma,MT21066,CSE,2021,601,CV,6,333,7
Diya Verma,PhD21067,ECE,2022,ML,1005,7,WEB,8
Saanvi Verma,MT21068,CSAM,2023,815,TOC,8,555,9
Ananya Verma,MT21069,CSD,2020,CV,222,9,CLOUD,10
Pari Verma,PhD21070,CSB,2021,1005,ALGO,10,777,6
Navya Verma,MT21071,CSE,2022,TOC,444,6,CYBER,7
Angel Verma,MT21072,ECE,2023,222,MOBILE,7,999,8
Ira Verma,PhD21073,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Verma,MT21074,CSD,2021,444,IOT,9,101,10
Anaya Verma,MT21075,CSB,2022,MOBILE,888,10,DSA,6
Ravi Verma,PhD21076,CSE,2023,666,GAME,6,303,7
Priya Verma,MT21077,ECE,2020,IOT,1111,7,CN,8
Amit Verma,MT21078,CSAM,2021,888,OOPD,8,523,9
Sneha Verma,PhD21079,CSD,2022,GAME,202,9,AI,10
Karan Verma,MT21080,CSB,2023,1111,OS,10,702,6
Nisha Verma,MT21081,CSE,2020,OOPD,401,6,NLP,7
Rahul Verma,PhD21082,ECE,2021,202,DBMS,7,920,8
Divya Verma,MT21083,CSAM,2022,OS,601,8,SEC,9
Meera Verma,MT21084,CSD,2023,401,ML,9,111,10
Rohan Verma,PhD21085,CSB,2020,DBMS,815,10,COA,6
Anjali Verma,MT21086,CSE,2021,601,CV,6,333,7
Vikram Verma,MT21087,ECE,2022,ML,1005,7,WEB,8
Pooja Verma,PhD21088,CSAM,2023,815,TOC,8,555,9
Aryan Verma,MT21089,CSD,2020,CV,222,9,CLOUD,10
Kavya Verma,MT21090,CSB,2021,1005,ALGO,10,777,6
Aakash Verma,PhD21091,CSE,2022,TOC,444,6,CYBER,7
Simran Verma,MT21092,ECE,2023,222,MOBILE,7,999,8
Varun Verma,MT21093,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Verma,PhD21094,CSD,2021,444,IOT,9,101,10
Nikhil Verma,MT21095,CSB,2022,MOBILE,888,10,DSA,6
Ritu Verma,MT21096,CSE,2023,666,GAME,6,303,7
Siddharth Verma,PhD21097,ECE,2020,IOT,1111,7,CN,8
Neha Verma,MT21098,CSAM,2021,888,OOPD,8,523,9
Kunal Verma,MT21099,CSD,2022,GAME,202,9,AI,10
Shruti Verma,PhD21100,CSB,2023,1111,OS,10,702,6
